time,ssid,mac,latitude,longitude,elevation,rssi,quality,channel,sats,hdop,vdop,pdop,privacy,type,rates
2019-03-02 01:59:15.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334028,119.37742,416.8,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:20.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334028,119.377418,417.2,-73,44,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:24.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334025,119.377402,422.5,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:26.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334028,119.377387,425.9,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:30.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334028,119.377387,426,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:35.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334028,119.377387,426.1,-72,46,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:37.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334028,119.377387,426.1,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:37.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334028,119.377387,426.1,-73,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:40.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334028,119.377387,426.2,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:42.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.33403,119.377387,426.2,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:46.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.33403,119.377385,426.3,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:53.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.33403,119.377385,426.5,-72,46,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:0.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.33403,119.377385,426.6,-73,44,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:2.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.33403,119.377385,426.6,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:7.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.33403,119.377383,426.7,-72,46,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:9.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.33403,119.377383,426.7,-72,46,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:11.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.33403,119.377383,426.8,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:15.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.33403,119.377383,426.8,-72,46,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:18.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.33403,119.377383,426.8,-72,46,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:22.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.33403,119.377383,426.9,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:24.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.33403,119.377383,427,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:27.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.33403,119.377383,427,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:30.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.33403,119.377383,427,-72,45,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:33.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.33403,119.377383,427,-72,46,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:35.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.33403,119.377383,427.1,-72,46,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:38.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334032,119.377382,427.1,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:40.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334032,119.377382,427.1,-73,44,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:47.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334032,119.377382,427.2,-73,44,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:00:51.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334032,119.377382,427.2,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:2.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334032,119.377382,427.4,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:14.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334032,119.377382,427.4,-72,46,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:15.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334032,119.377382,427.4,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:18.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334033,119.37738,427.5,-72,45,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:20.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334033,119.37738,427.5,-72,45,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:23.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334033,119.37738,427.5,-67,55,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:23.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334033,119.37738,427.5,-72,55,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:25.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334033,119.37738,427.5,-72,46,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:27.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334033,119.37738,427.5,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:39.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334033,119.37738,427.7,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:40.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334033,119.37738,427.7,-73,44,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:45.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334033,119.37738,427.7,-72,46,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:47.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334033,119.37738,427.8,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:50.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334033,119.37738,427.8,-72,46,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:52.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334033,119.37738,427.8,-73,44,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:54.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334033,119.37738,427.8,-72,46,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:56.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334033,119.37738,427.8,-72,46,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:01:59.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334033,119.37738,427.9,-72,45,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:02:0.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334033,119.37738,427.9,-71,47,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:02:10.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334033,119.37738,428,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:02:12.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334033,119.377378,428,-72,46,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:02:14.0 ,CLB-CISCO,F8:0F:6F:60:B8:80,-22.334033,119.377378,428,-71,48,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:02:17.0 ,CLB-CISCO,A0:93:51:A3:0F:80,-22.334033,119.377378,428,-73,44,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
