time,ssid,mac,latitude,longitude,elevation,rssi,quality,channel,sats,hdop,vdop,pdop,privacy,type,rates
2019-03-02 03:41:22.0 ,Downer RRK 154895,00:14:3E:33:D6:80,-22.286665,119.272162,426.2,-83,23,1,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/7/9/11/12/14/18/21/22/24/28/29/36/42/43/44/48/54/58/65/66/72/86/87/116/129/130/144/174/195/216
2019-03-02 03:41:36.0 ,Downer RRK 154895,00:14:3E:33:D6:80,-22.28654,119.270372,424.8,-74,42,1,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/7/9/11/12/14/18/21/22/24/28/29/36/42/43/44/48/54/58/65/66/72/86/87/116/129/130/144/174/195/216
2019-03-02 03:41:45.0 ,Downer RRK 154895,00:14:3E:33:D6:80,-22.286442,119.26952,424.7,-83,23,1,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/7/9/11/12/14/18/21/22/24/28/29/36/42/43/44/48/54/58/65/66/72/86/87/116/129/130/144/174/195/216
2019-03-02 03:41:47.0 ,Downer RRK 154895,00:14:3E:33:D6:80,-22.286395,119.269213,424.5,-83,23,1,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/7/9/11/12/14/18/21/22/24/28/29/36/42/43/44/48/54/58/65/66/72/86/87/116/129/130/144/174/195/216
2019-03-02 03:41:51.0 ,Downer RRK 154895,00:14:3E:33:D6:80,-22.286353,119.2689,424.1,-82,26,1,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/7/9/11/12/14/18/21/22/24/28/29/36/42/43/44/48/54/58/65/66/72/86/87/116/129/130/144/174/195/216
2019-03-02 03:41:54.0 ,Downer RRK 154895,00:14:3E:33:D6:80,-22.286305,119.268567,424,-82,26,1,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/7/9/11/12/14/18/21/22/24/28/29/36/42/43/44/48/54/58/65/66/72/86/87/116/129/130/144/174/195/216
2019-03-02 03:41:57.0 ,Downer RRK 154895,00:14:3E:33:D6:80,-22.286263,119.268255,423.8,-82,26,1,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/7/9/11/12/14/18/21/22/24/28/29/36/42/43/44/48/54/58/65/66/72/86/87/116/129/130/144/174/195/216
2019-03-02 03:41:59.0 ,Downer RRK 154895,00:14:3E:33:D6:80,-22.286227,119.267955,423.9,-82,26,1,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/7/9/11/12/14/18/21/22/24/28/29/36/42/43/44/48/54/58/65/66/72/86/87/116/129/130/144/174/195/216
2019-03-02 03:42:5.0 ,Downer RRK 154895,00:14:3E:33:D6:80,-22.28615,119.267358,424.2,-83,23,1,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/7/9/11/12/14/18/21/22/24/28/29/36/42/43/44/48/54/58/65/66/72/86/87/116/129/130/144/174/195/216
2019-03-02 03:42:8.0 ,Downer RRK 154895,00:14:3E:33:D6:80,-22.286105,119.26703,423.8,-83,23,1,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/7/9/11/12/14/18/21/22/24/28/29/36/42/43/44/48/54/58/65/66/72/86/87/116/129/130/144/174/195/216
