time,ssid,mac,latitude,longitude,elevation,rssi,quality,channel,sats,hdop,vdop,pdop,privacy,type,rates
2019-03-02 01:59:20.0 ,Rapid,74:DA:DA:07:5F:94,-22.334028,119.377418,417.2,-83,23,2,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/15/18/24/30/36/45/48/54/60/90/120/135/150/180/240/270/300
2019-03-02 01:59:35.0 ,Rapid,74:DA:DA:07:5F:94,-22.334028,119.377387,426.1,-82,26,2,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/15/18/24/30/36/45/48/54/60/90/120/135/150/180/240/270/300
2019-03-02 01:59:40.0 ,Rapid,74:DA:DA:07:5F:94,-22.334028,119.377387,426.2,-83,23,2,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/15/18/24/30/36/45/48/54/60/90/120/135/150/180/240/270/300
2019-03-02 01:59:48.0 ,Rapid,74:DA:DA:07:5F:94,-22.33403,119.377385,426.4,-83,23,2,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/15/18/24/30/36/45/48/54/60/90/120/135/150/180/240/270/300
2019-03-02 01:59:58.0 ,Rapid,74:DA:DA:07:5F:94,-22.33403,119.377385,426.6,-83,23,2,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/15/18/24/30/36/45/48/54/60/90/120/135/150/180/240/270/300
2019-03-02 02:00:11.0 ,Rapid,74:DA:DA:07:5F:94,-22.33403,119.377383,426.8,-83,23,2,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/15/18/24/30/36/45/48/54/60/90/120/135/150/180/240/270/300
2019-03-02 02:00:15.0 ,Rapid,74:DA:DA:07:5F:94,-22.33403,119.377383,426.8,-82,26,2,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/15/18/24/30/36/45/48/54/60/90/120/135/150/180/240/270/300
2019-03-02 02:00:33.0 ,Rapid,74:DA:DA:07:5F:94,-22.33403,119.377383,427,-82,26,2,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/15/18/24/30/36/45/48/54/60/90/120/135/150/180/240/270/300
2019-03-02 02:00:35.0 ,Rapid,74:DA:DA:07:5F:94,-22.33403,119.377383,427.1,-83,23,2,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/15/18/24/30/36/45/48/54/60/90/120/135/150/180/240/270/300
2019-03-02 02:00:47.0 ,Rapid,74:DA:DA:07:5F:94,-22.334032,119.377382,427.2,-83,23,2,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/15/18/24/30/36/45/48/54/60/90/120/135/150/180/240/270/300
2019-03-02 02:00:49.0 ,Rapid,74:DA:DA:07:5F:94,-22.334032,119.377382,427.2,-83,23,2,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/15/18/24/30/36/45/48/54/60/90/120/135/150/180/240/270/300
2019-03-02 02:00:51.0 ,Rapid,74:DA:DA:07:5F:94,-22.334032,119.377382,427.2,-83,23,2,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/15/18/24/30/36/45/48/54/60/90/120/135/150/180/240/270/300
2019-03-02 02:01:7.0 ,Rapid,74:DA:DA:07:5F:94,-22.334032,119.377382,427.4,-83,23,2,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/15/18/24/30/36/45/48/54/60/90/120/135/150/180/240/270/300
