time,ssid,mac,latitude,longitude,elevation,rssi,quality,channel,sats,hdop,vdop,pdop,privacy,type,rates
2019-03-02 02:20:22.0 ,TRX_00684,3C:A3:08:A8:EE:1F,-22.305477,119.335088,431.4,-83,23,6,9,0.9,1.2,1.5,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 02:22:17.0 ,TRX_00684,3C:A3:08:A8:EE:1F,-22.30555,119.334907,429.5,-74,42,6,10,0.8,1.1,1.4,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 02:23:17.0 ,TRX_00684,3C:A3:08:A8:EE:1F,-22.303027,119.332342,437.1,-83,23,6,10,0.8,1.1,1.4,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 02:23:20.0 ,TRX_00684,3C:A3:08:A8:EE:1F,-22.303257,119.332323,436.7,-73,43,6,10,0.8,1.1,1.4,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 02:23:22.0 ,TRX_00684,3C:A3:08:A8:EE:1F,-22.303513,119.332315,435.5,-73,44,6,10,0.8,1.1,1.4,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 02:23:26.0 ,TRX_00684,3C:A3:08:A8:EE:1F,-22.303703,119.332308,435,-73,44,6,10,0.8,1.1,1.4,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 02:23:28.0 ,TRX_00684,3C:A3:08:A8:EE:1F,-22.303755,119.33231,435,-71,47,6,10,0.8,1.1,1.4,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 02:23:31.0 ,TRX_00684,3C:A3:08:A8:EE:1F,-22.303812,119.332313,434.9,-73,44,6,10,0.8,1.1,1.4,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 02:23:34.0 ,TRX_00684,3C:A3:08:A8:EE:1F,-22.303942,119.332318,435.2,-72,46,6,10,0.8,1.1,1.4,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 02:23:36.0 ,TRX_00684,3C:A3:08:A8:EE:1F,-22.304092,119.332317,435.6,-72,46,6,10,0.8,1.1,1.4,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
