time,ssid,mac,latitude,longitude,elevation,rssi,quality,channel,sats,hdop,vdop,pdop,privacy,type,rates
2019-03-02 04:26:9.0 ,Trimble GNSS 0013,B8:D7:AF:A7:33:A8,-22.28561,119.321482,438.2,-83,23,6,10,0.8,1.5,1.7,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 04:26:12.0 ,Trimble GNSS 0013,B8:D7:AF:A7:33:A8,-22.285565,119.321698,438.1,-83,23,6,10,0.8,1.5,1.7,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 04:28:47.0 ,Trimble GNSS 0013,B8:D7:AF:A7:33:A8,-22.292465,119.322648,439.9,-73,43,6,10,0.8,1.5,1.7,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 04:28:50.0 ,Trimble GNSS 0013,B8:D7:AF:A7:33:A8,-22.292462,119.322867,439.7,-83,23,6,10,0.8,1.5,1.7,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 04:29:20.0 ,Trimble GNSS 0013,B8:D7:AF:A7:33:A8,-22.291647,119.323762,438.3,-73,44,6,10,0.8,1.5,1.7,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 04:29:23.0 ,Trimble GNSS 0013,B8:D7:AF:A7:33:A8,-22.29164,119.32376,438.5,-73,44,6,10,0.8,1.5,1.7,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 04:29:26.0 ,Trimble GNSS 0013,B8:D7:AF:A7:33:A8,-22.291592,119.32375,438.6,-73,43,6,10,0.8,1.5,1.7,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 04:29:29.0 ,Trimble GNSS 0013,B8:D7:AF:A7:33:A8,-22.291412,119.323725,437.6,-72,46,6,10,0.8,1.5,1.7,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 04:29:35.0 ,Trimble GNSS 0013,B8:D7:AF:A7:33:A8,-22.291083,119.323672,435.4,-71,47,6,10,0.8,1.5,1.7,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 04:29:38.0 ,Trimble GNSS 0013,B8:D7:AF:A7:33:A8,-22.290977,119.323653,434.8,-73,44,6,10,0.8,1.5,1.7,None,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
