time,ssid,mac,latitude,longitude,elevation,rssi,quality,channel,sats,hdop,vdop,pdop,privacy,type,rates
2019-03-02 02:17:55.0 ,access,18:DE:D7:77:15:C1,-22.303938,119.347093,439.3,-83,23,1,8,1,1.6,1.9,None,Infrastructure,6/12/13/18/19/24/26/36/38/39/48/52/54/57/58/65/76/78/104/116/117/130/156/174/195/208/232/260
2019-03-02 02:17:58.0 ,access,18:DE:D7:77:15:C1,-22.303857,119.346888,438.9,-72,46,1,9,0.9,1.4,1.7,None,Infrastructure,6/12/13/18/19/24/26/36/38/39/48/52/54/57/58/65/76/78/104/116/117/130/156/174/195/208/232/260
2019-03-02 02:18:1.0 ,access,18:DE:D7:77:15:C1,-22.303738,119.34659,438.3,-71,47,1,9,0.9,1.4,1.7,None,Infrastructure,6/12/13/18/19/24/26/36/38/39/48/52/54/57/58/65/76/78/104/116/117/130/156/174/195/208/232/260
2019-03-02 02:18:6.0 ,access,18:DE:D7:77:15:C1,-22.30355,119.346157,438.5,-73,44,1,9,0.9,1.4,1.7,None,Infrastructure,6/12/13/18/19/24/26/36/38/39/48/52/54/57/58/65/76/78/104/116/117/130/156/174/195/208/232/260
2019-03-02 02:18:9.0 ,access,18:DE:D7:77:15:C1,-22.303433,119.345922,439.1,-73,44,1,9,0.9,1.4,1.7,None,Infrastructure,6/12/13/18/19/24/26/36/38/39/48/52/54/57/58/65/76/78/104/116/117/130/156/174/195/208/232/260
2019-03-02 02:18:14.0 ,access,18:DE:D7:77:15:C1,-22.303183,119.345435,439.5,-74,42,1,9,0.9,1.4,1.7,None,Infrastructure,6/12/13/18/19/24/26/36/38/39/48/52/54/57/58/65/76/78/104/116/117/130/156/174/195/208/232/260
2019-03-02 02:18:17.0 ,access,18:DE:D7:77:15:C1,-22.3031,119.345278,439.5,-74,42,1,9,0.9,1.4,1.7,None,Infrastructure,6/12/13/18/19/24/26/36/38/39/48/52/54/57/58/65/76/78/104/116/117/130/156/174/195/208/232/260
2019-03-02 02:18:20.0 ,access,18:DE:D7:77:15:C1,-22.302982,119.345065,439.7,-82,26,1,9,0.9,1.4,1.7,None,Infrastructure,6/12/13/18/19/24/26/36/38/39/48/52/54/57/58/65/76/78/104/116/117/130/156/174/195/208/232/260
2019-03-02 02:18:22.0 ,access,18:DE:D7:77:15:C1,-22.302872,119.344875,439.8,-83,23,1,9,0.9,1.4,1.7,None,Infrastructure,6/12/13/18/19/24/26/36/38/39/48/52/54/57/58/65/76/78/104/116/117/130/156/174/195/208/232/260
2019-03-02 02:18:28.0 ,access,18:DE:D7:77:15:C1,-22.302683,119.344578,439.9,-83,23,1,9,0.9,1.4,1.7,None,Infrastructure,6/12/13/18/19/24/26/36/38/39/48/52/54/57/58/65/76/78/104/116/117/130/156/174/195/208/232/260
