time,ssid,mac,latitude,longitude,elevation,rssi,quality,channel,sats,hdop,vdop,pdop,privacy,type,rates
2019-03-02 01:59:13.0 ,cbtablets,F8:0F:6F:60:B8:62,-22.334028,119.37742,416.6,-63,64,11,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:13.0 ,cbtablets,F8:0F:6F:60:B2:A2,-22.334028,119.37742,416.6,-63,64,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:13.0 ,cbtablets,F8:0F:6F:60:A9:82,-22.334028,119.37742,416.6,-72,64,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:15.0 ,cbtablets,F8:0F:6F:60:B2:A2,-22.334028,119.37742,416.8,-63,64,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:15.0 ,cbtablets,F8:0F:6F:60:B8:62,-22.334028,119.37742,416.8,-63,64,11,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:15.0 ,cbtablets,F8:0F:6F:60:A9:A2,-22.334028,119.37742,416.8,-72,64,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:15.0 ,cbtablets,F8:0F:6F:60:B8:02,-22.334028,119.37742,416.8,-82,64,6,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:18.0 ,cbtablets,F8:0F:6F:60:B8:62,-22.334028,119.377418,417,-61,67,11,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:18.0 ,cbtablets,F8:0F:6F:60:B2:A2,-22.334028,119.377418,417,-63,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:18.0 ,cbtablets,F8:0F:6F:60:A9:A2,-22.334028,119.377418,417,-72,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:18.0 ,cbtablets,F8:0F:6F:60:A9:82,-22.334028,119.377418,417,-73,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:20.0 ,cbtablets,F8:0F:6F:60:B8:62,-22.334028,119.377418,417.2,-61,67,11,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:20.0 ,cbtablets,F8:0F:6F:60:B2:A2,-22.334028,119.377418,417.2,-63,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:22.0 ,cbtablets,F8:0F:6F:60:B8:62,-22.334025,119.377402,422.4,-61,67,11,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:22.0 ,cbtablets,F8:0F:6F:60:B2:A2,-22.334025,119.377402,422.4,-63,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:22.0 ,cbtablets,F8:0F:6F:60:A9:A2,-22.334025,119.377402,422.4,-72,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:22.0 ,cbtablets,F8:0F:6F:60:AC:02,-22.334025,119.377402,422.4,-73,67,11,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:24.0 ,cbtablets,F8:0F:6F:60:B8:62,-22.334025,119.377402,422.5,-61,67,11,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:24.0 ,cbtablets,F8:0F:6F:60:B2:A2,-22.334025,119.377402,422.5,-63,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:24.0 ,cbtablets,F8:0F:6F:60:A9:A2,-22.334025,119.377402,422.5,-72,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:24.0 ,cbtablets,F8:0F:6F:60:A5:C2,-22.334025,119.377402,422.5,-72,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:26.0 ,cbtablets,F8:0F:6F:60:B8:62,-22.334028,119.377387,425.9,-61,67,11,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:26.0 ,cbtablets,F8:0F:6F:60:B2:A2,-22.334028,119.377387,425.9,-63,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:26.0 ,cbtablets,F8:0F:6F:60:A9:82,-22.334028,119.377387,425.9,-73,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:26.0 ,cbtablets,F8:0F:6F:60:B8:02,-22.334028,119.377387,425.9,-73,67,6,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:29.0 ,cbtablets,F8:0F:6F:60:B8:62,-22.334028,119.377387,425.9,-61,67,11,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:29.0 ,cbtablets,F8:0F:6F:60:B2:A2,-22.334028,119.377387,425.9,-63,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:29.0 ,cbtablets,F8:0F:6F:60:A9:A2,-22.334028,119.377387,425.9,-72,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:29.0 ,cbtablets,F8:0F:6F:60:A5:C2,-22.334028,119.377387,425.9,-72,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:29.0 ,cbtablets,F8:0F:6F:60:A9:82,-22.334028,119.377387,425.9,-73,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:30.0 ,cbtablets,F8:0F:6F:60:B8:62,-22.334028,119.377387,426,-61,67,11,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:30.0 ,cbtablets,F8:0F:6F:60:B2:A2,-22.334028,119.377387,426,-63,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:30.0 ,cbtablets,F8:0F:6F:60:A9:A2,-22.334028,119.377387,426,-72,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:30.0 ,cbtablets,F8:0F:6F:60:B8:02,-22.334028,119.377387,426,-73,67,6,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:33.0 ,cbtablets,F8:0F:6F:60:B8:62,-22.334028,119.377387,426,-63,64,11,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:33.0 ,cbtablets,F8:0F:6F:60:B2:A2,-22.334028,119.377387,426,-63,64,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:33.0 ,cbtablets,F8:0F:6F:60:A5:C2,-22.334028,119.377387,426,-72,64,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:33.0 ,cbtablets,F8:0F:6F:60:A9:A2,-22.334028,119.377387,426,-72,64,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:33.0 ,cbtablets,F8:0F:6F:60:A9:82,-22.334028,119.377387,426,-73,64,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:35.0 ,cbtablets,F8:0F:6F:60:B8:62,-22.334028,119.377387,426.1,-61,67,11,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:35.0 ,cbtablets,F8:0F:6F:60:B2:A2,-22.334028,119.377387,426.1,-63,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:35.0 ,cbtablets,F8:0F:6F:60:A9:A2,-22.334028,119.377387,426.1,-71,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:35.0 ,cbtablets,F8:0F:6F:60:AC:02,-22.334028,119.377387,426.1,-82,67,11,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:37.0 ,cbtablets,F8:0F:6F:60:B8:62,-22.334028,119.377387,426.1,-61,67,11,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:37.0 ,cbtablets,F8:0F:6F:60:B2:A2,-22.334028,119.377387,426.1,-63,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:37.0 ,cbtablets,F8:0F:6F:60:A5:C2,-22.334028,119.377387,426.1,-72,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:37.0 ,cbtablets,F8:0F:6F:60:A9:82,-22.334028,119.377387,426.1,-73,67,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:40.0 ,cbtablets,F8:0F:6F:60:B8:62,-22.334028,119.377387,426.2,-63,64,11,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:40.0 ,cbtablets,F8:0F:6F:60:B2:A2,-22.334028,119.377387,426.2,-63,64,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:40.0 ,cbtablets,F8:0F:6F:60:A9:82,-22.334028,119.377387,426.2,-72,64,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:40.0 ,cbtablets,F8:0F:6F:60:A9:A2,-22.334028,119.377387,426.2,-72,64,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:40.0 ,cbtablets,F8:0F:6F:60:A5:C2,-22.334028,119.377387,426.2,-72,64,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 01:59:42.0 ,cbtablets,F8:0F:6F:60:B2:A2,-22.33403,119.377387,426.2,-63,64,1,9,0.8,1.5,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
