time,ssid,mac,latitude,longitude,elevation,rssi,quality,channel,sats,hdop,vdop,pdop,privacy,type,rates
2019-03-02 02:17:58.0 ,connect,18:DE:D7:77:15:C0,-22.303857,119.346888,438.9,-71,47,1,9,0.9,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 02:18:1.0 ,connect,18:DE:D7:77:15:C0,-22.303738,119.34659,438.3,-71,47,1,9,0.9,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 02:18:4.0 ,connect,18:DE:D7:77:15:C0,-22.303627,119.346318,438.4,-71,48,1,9,0.9,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 02:18:4.0 ,connect,18:DE:D7:77:15:D0,-22.303627,119.346318,438.4,-84,48,40,9,0.9,1.4,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:18:9.0 ,connect,18:DE:D7:77:15:C0,-22.303433,119.345922,439.1,-73,44,1,9,0.9,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 02:18:17.0 ,connect,18:DE:D7:77:15:C0,-22.3031,119.345278,439.5,-82,26,1,9,0.9,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 02:18:20.0 ,connect,18:DE:D7:77:15:C0,-22.302982,119.345065,439.7,-82,26,1,9,0.9,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 02:18:25.0 ,connect,18:DE:D7:77:15:C0,-22.302762,119.344697,439.6,-83,23,1,9,0.9,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 03:21:9.0 ,connect,5C:54:6D:34:83:00,-22.292323,119.29612,432.5,-83,23,1,9,0.9,1.1,1.5,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 03:21:24.0 ,connect,18:DE:D7:76:AE:00,-22.292213,119.294093,430.4,-83,23,6,9,0.9,1.1,1.5,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 03:21:26.0 ,connect,18:DE:D7:76:AE:00,-22.292188,119.2937,430.3,-83,23,6,9,0.9,1.1,1.5,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 03:41:42.0 ,connect,18:DE:D7:77:12:00,-22.286473,119.269728,424.8,-83,23,11,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 03:45:11.0 ,connect,18:DE:D7:77:12:00,-22.289477,119.266603,424.4,-83,23,11,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 03:45:17.0 ,connect,18:DE:D7:77:12:00,-22.28947,119.26718,423.1,-83,23,11,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 03:45:27.0 ,connect,18:DE:D7:77:12:00,-22.289457,119.268193,421.1,-83,23,11,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 03:45:35.0 ,connect,18:DE:D7:77:12:00,-22.289253,119.268525,421.4,-74,42,11,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 03:45:41.0 ,connect,18:DE:D7:77:12:00,-22.288992,119.268525,422.3,-74,42,11,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 03:45:53.0 ,connect,18:DE:D7:77:12:00,-22.288557,119.268985,422.7,-71,47,11,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/13/18/19/24/26/36/38/39/48/52/54/57/58/65/76/78/104/116/117/130/156/174/195/208/232/260
2019-03-02 03:45:56.0 ,connect,18:DE:D7:77:12:00,-22.288533,119.269278,423,-71,47,11,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 03:46:5.0 ,connect,18:DE:D7:77:12:00,-22.288545,119.269777,423,-67,56,11,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 03:46:5.0 ,connect,18:DE:D7:77:12:10,-22.288545,119.269777,423,-71,56,36,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 03:46:8.0 ,connect,18:DE:D7:77:12:10,-22.288678,119.26989,423.4,-83,23,36,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 03:46:11.0 ,connect,18:DE:D7:77:12:10,-22.28879,119.269975,423.2,-82,25,36,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 03:46:23.0 ,connect,18:DE:D7:77:12:00,-22.28849,119.270083,423.4,-59,72,11,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
2019-03-02 03:46:23.0 ,connect,18:DE:D7:77:12:10,-22.28849,119.270083,423.4,-81,72,36,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 03:46:26.0 ,connect,18:DE:D7:77:12:00,-22.288378,119.269967,423.5,-64,62,11,10,1,1.4,1.7,RSNA-CCMP,Infrastructure,6/12/18/24/36/48/54
