time,ssid,mac,latitude,longitude,elevation,rssi,quality,channel,sats,hdop,vdop,pdop,privacy,type,rates
2019-03-02 01:59:13.0 ,tw,00:0D:97:09:24:73,-22.334028,119.37742,416.6,-59,72,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:15.0 ,tw,00:0D:97:09:24:73,-22.334028,119.37742,416.8,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:18.0 ,tw,00:0D:97:09:24:73,-22.334028,119.377418,417,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:20.0 ,tw,00:0D:97:09:24:73,-22.334028,119.377418,417.2,-59,72,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:22.0 ,tw,00:0D:97:09:24:73,-22.334025,119.377402,422.4,-59,72,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:24.0 ,tw,00:0D:97:09:24:73,-22.334025,119.377402,422.5,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:26.0 ,tw,00:0D:97:09:24:73,-22.334028,119.377387,425.9,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:29.0 ,tw,00:0D:97:09:24:73,-22.334028,119.377387,425.9,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:30.0 ,tw,00:0D:97:09:24:73,-22.334028,119.377387,426,-59,72,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:33.0 ,tw,00:0D:97:09:24:73,-22.334028,119.377387,426,-64,62,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:35.0 ,tw,00:0D:97:09:24:73,-22.334028,119.377387,426.1,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:37.0 ,tw,00:0D:97:09:24:73,-22.334028,119.377387,426.1,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:40.0 ,tw,00:0D:97:09:24:73,-22.334028,119.377387,426.2,-59,72,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:42.0 ,tw,00:0D:97:09:24:73,-22.33403,119.377387,426.2,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:44.0 ,tw,00:0D:97:09:24:73,-22.33403,119.377385,426.3,-60,70,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:46.0 ,tw,00:0D:97:09:24:73,-22.33403,119.377385,426.3,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:48.0 ,tw,00:0D:97:09:24:73,-22.33403,119.377385,426.4,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:50.0 ,tw,00:0D:97:09:24:73,-22.33403,119.377385,426.4,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:53.0 ,tw,00:0D:97:09:24:73,-22.33403,119.377385,426.5,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:55.0 ,tw,00:0D:97:09:24:73,-22.33403,119.377385,426.5,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 01:59:58.0 ,tw,00:0D:97:09:24:73,-22.33403,119.377385,426.6,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 02:00:2.0 ,tw,00:0D:97:09:24:73,-22.33403,119.377385,426.6,-59,72,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 02:00:4.0 ,tw,00:0D:97:09:24:73,-22.33403,119.377383,426.7,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 02:00:7.0 ,tw,00:0D:97:09:24:73,-22.33403,119.377383,426.7,-57,76,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
2019-03-02 02:00:9.0 ,tw,00:0D:97:09:24:73,-22.33403,119.377383,426.7,-58,74,11,9,0.8,1.5,1.7,WPA-CCMP,Infrastructure,1/2/5.5/6/9/11/12/18/24/36/48/54
