time,ssid,mac,latitude,longitude,elevation,rssi,quality,channel,sats,hdop,vdop,pdop,privacy,type,rates
2019-03-02 02:18:28.0 ,twbh,DC:9F:DB:8E:FE:2F,-22.302683,119.344578,439.9,-81,28,48,9,0.9,1.4,1.7,None,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:18:39.0 ,twbh,DC:9F:DB:8E:FE:2F,-22.302178,119.343937,439.4,-84,22,48,9,0.9,1.4,1.7,None,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:18:42.0 ,twbh,DC:9F:DB:8E:FE:2F,-22.302145,119.343753,439.8,-83,23,48,9,0.9,1.4,1.7,None,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:18:44.0 ,twbh,DC:9F:DB:8E:FE:2F,-22.302235,119.343565,440.5,-83,23,48,9,0.9,1.4,1.7,None,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:18:47.0 ,twbh,DC:9F:DB:8E:FE:2F,-22.30237,119.34335,440.9,-82,25,48,9,0.9,1.4,1.7,None,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:18:50.0 ,twbh,DC:9F:DB:8E:FE:2F,-22.302463,119.343172,440.7,-82,25,48,9,0.9,1.4,1.7,None,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:18:52.0 ,twbh,DC:9F:DB:8E:FE:2F,-22.302602,119.342868,441.4,-73,43,48,9,0.9,1.4,1.7,None,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:18:56.0 ,twbh,DC:9F:DB:8E:FE:2F,-22.302712,119.34254,441.8,-73,43,48,9,0.9,1.4,1.6,None,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:18:58.0 ,twbh,DC:9F:DB:8E:FE:2F,-22.302778,119.34219,442.1,-72,46,48,9,0.9,1.4,1.6,None,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:19:1.0 ,twbh,DC:9F:DB:8E:FE:2F,-22.302805,119.341837,441.7,-73,44,48,9,0.9,1.4,1.6,None,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:19:4.0 ,twbh,DC:9F:DB:8E:FE:2F,-22.302812,119.341597,441.4,-73,44,48,9,0.9,1.4,1.6,None,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:19:7.0 ,twbh,DC:9F:DB:8E:FE:2F,-22.302817,119.341222,441,-72,45,48,9,0.9,1.4,1.6,None,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:19:12.0 ,twbh,DC:9F:DB:8E:FE:2F,-22.302815,119.34045,439.7,-73,44,48,9,0.9,1.4,1.6,None,Infrastructure,6/9/12/18/24/36/48/54
2019-03-02 02:19:15.0 ,twbh,DC:9F:DB:8E:FE:2F,-22.302812,119.340195,439.3,-73,44,48,9,0.9,1.4,1.6,None,Infrastructure,6/9/12/18/24/36/48/54
